baiTamaina banAma suparamaina	batman vs superman
unhoMne kyA kiyA - pahelI koDa ko breka kiyA - isa philma meM yaha kahA gayA thA ki yaha kevala unhoMne hI kiyA thA isa DisIphariMga mazIna ko banAkara - jahAM vAstava meM, unhoMne poliza gaNitajJoM ke elgoridama kA upayoga kiyA - ise gUgala kareM|	unhoMne kyA kiyA - enagAmA koDa ko break kareM - isa film meM yaha kahA ki kevala unhoMne isa dikreephaayaring mazIna ko banAkara kiyA - jahAM vAstava meM , unhoMne polish ganitagyon kI elgoridam kA upayoga kiyA - yaha google kara lIjiye
yaha "zuddha" kAlpanika nahIM thA| yaha sirpha galata thA, lekina hA~, mujhe yaha pasaMda AyA aura	yaha pUrI fiction nahIM haiM ... yaha inaccurate haiM magara mujhe pasaMda haiM
bahuta dilacaspa hai, maiM karU~gA	mujhe bhI pasaMda haiM yAra
kIrA nAiTalI - maiM usake sAtha kucha bhI dekhUMgA;	kIrA knightley ke sAtha kucha bhI maiM watch kara sakatI hU~
:)	ha ha ha
maiM ise dekhU~gA	maiM bhI dekhU~gI
kyA Apa isa taraha kI aitihAsika philmeM pasaMda karate haiM ? kyA Apa kisI bhI taraha se briTiza haiM ?	tujhe bhI historical movies pasaMda haiM kyA ? ar3e to british haiM na ?
hA~, lekina maiM nahIM hU~ tuma ho	hA~ yAra , magara tU ?
maiM poliza hU~:) isa taraha se maiM itihAsa ke usa hisse ke bAre meM ina tathyoM ko jAnatA hU~;)	meM polish hU~ .. isa lie mujhe isakA history patA haiM yAra
dilacaspa hai, maiM itAlavI hU~	acchA maiM italian hU~ yAra
mazIna vaha nirmANa vAstava meM mUla eka ke lie bahuta hI dRzya samAna thA	usane vaha machine ko original kI taraha hI build kiye haiM
ve usa ke sAtha eka mahAna kAma kiyA	unhoMne isake sAtha bahuta acchA kAma kiyA
maiM itihAsa gUgala kareMge	maiM itihAsa ko google karU~gA
yaha acchA hai,	vaha zAMta hai ,
mazIna thor3I alaga taraha se kAma kara rahI thI - yaha gaNitIya elgoridama para AdhArita thI aura vAstava meM "zabdoM" kI pahacAna nahIM thI| unhoMne ise haॉlIvuDa ke lie "AsAna" dikhAyA;)	mazIna hAlAMki thor3A alaga kAma kara rahe the - yaha gaNitIya elgoridam para AdhArita thI aura vAstava meM " zabda " mAnyatA nahIM thI . unhoMne ise holeevud ke lie " AsAna " banAyA ;)
kyA yaha dhyAna AkarSita kara rahA hai	kyA yaha dhyAna dene yogya hai
yaha haॉlIvuDa hai	vaha holeevud hai
ve aksara aisA karate haiM	ve aksara aisA karate haiM
isakA eka bar3A hissA nATaka aura ekzana hai - isa pUre ऑparezana meM zAmila emaAI 6 ejeMTa Adi mujhe lagatA hai ki Apako yaha pasaMda AegA	isakA bar3A hissA nATaka aura ekshan hai - isa pUre opareshan meM zAmila emaee 6 ment Adi mujhe lagatA hai ki Apa ise pasaMda kareMge
maiM nizcita rUpa se ise dekhane ke bAre meM soca rahA hU~	maiM nizcita rUpa se dekha ke bAre meM soca rahA hU~
mujhe lagatA hai ki unhoMne usa samaya briTiza bhUmikA ko atiraMjita kiyA thA... basa kaha rahA hUM;)	mujhe lagatA hai ki unhoMne usa samaya meM british bhUmikA ko kama kara diyA ... basa kaha rahe haiM ;)
isIlie maiMne Apase pUchA ki kyA Apa briTiza haiM:) maiM Apako nArAja nahIM karanA cAhatA thA	isalie maiMne pUchA kyA tuma British hU~ :) maiM tumheM offend nahIM karanA cAhatI
maiM ise kAlpanika nahIM mAnU~gA	maiM use factual nahIM batA sakatI
namaskAra	hai
hAla hI meM koI acchI philmeM dekhI haiM?	koI acchI movie dekhI hai abhI abhI
hailo?	hello ?
are! vAstava meM nahIM, maiM sirpha baiTamaina banAma suparamaina. 27% sar3e hue TamATara skora phiTiMga hai.	Hey , really nahIM . sirpha Batman vs . Superman . 27 % Rotten Tomatoes score bilkula ThIka hai .
oha, maiMne vaha eka nahIM dekhA hai, mujhe aura batAo	Oh , vaha maiMne nahIM dekhA , aura batAo .
yaha itanA burA kyoM thA?	vaha kyoM itanA bar3a thA ?
khaira, yaha maina ऑpha sTIla kI agalI kar3I hai. isameM bahuta sArI arthahIna kArravAI hai aura bahuta kucha nahIM hai.	acchA , vo Man of Steel kA sequel hai . usameM bahuta meaningless actions haiM aura khAsa kucha nahIM ,
hailo. kyA Apane philma dekhI kaise apane Draigana ko prazikSita karane ke lie? yaha bahuta pyArA thA!	Hello . kyA tumane vaha movie dekhI How to Train your Dragon ? vo itanI cute thI !
hA~, mujhe nahIM patA thA ki isameM itane sAre loga the|	hA~ , mujhe nahIM patA itane sAre loga hai usameM
mujhe patA hai ki kalAkAra mahAna haiM! maiM jerArDa baTalara kA eka bar3A prazaMsaka hU~	I know ! cast bar3hiyA hai ! meM Gerard Butler kA bahuta bar3A fan ho
vaha vAstava meM acchA hai. krega phargyUsana hamezA eka haMsI ke lie acchA hai.	vaha kAphI acchA hai . Craig Ferguson bhI haMsane ke lie hamezA acchA hai
hA~. hAlAMki philma pUrI taraha se majedAra aura khela nahIM thI. yaha eka taraha kI DrAmeDI thI jisameM thor3I sI gaMbhIratA thI.	hAM . But movie pUrI hasI majAka nahIM thI . Dramedy type kI thI thor3A seriousness thA usameM .
kyA Apa jAnate the ki amerikA phererA AvAjoM meM se eka thA?	kyA tumheM patA hai America Ferrera ne voice dI hai
maiMne nahIM kiyA. vaha esTriDa khelatI hai, hai nA?	mujhe nahIM patA thA . usane Astrid play kiyA nA , right ?
hA~. vaha eka aura chAtra hai.	hAM , vaha bhI eka student hai
3-DI enImezana zIrSa pAyadAna thA|	vaha 3 - D animation to bilkula top notch thA
maiM sahamata hU~. DrImavarksa enImezana hamezA apane khela ke zIrSa para hai.	maiM agree karatA . dreams animation hamezA khela meM sabase Upara hai .
Alocaka bhI isa bAta se sahamata haiM|	sabhI critics lagatA hai agree karate haiM .
vaha dRzya jahAM hicakI Draigana ko golI mAratI hai vaha thor3A dukhada hai|	vaha scene jahAM Hiccup dragon ko shoot karatA hai , sad hai
hAlAMki yaha jAne detA hai.	lekina vaha use jAne detA hai
hA~. hicakI ke AviSkAra hamezA galata ho rahe haiM.	hAM . Hiccup ke invention hamezA kharAba hote rahate haiM .
maiM sirpha soca rahA thA ki vaha kAphI smArTa hAlAMki, cIjoM ke sAtha A rahA hai 15 ho rahA hai.	maiM soca raha thA vo vaise kAphI smart haiM , 15 sAla kA hone bAvajUda itanA saba banAte haiM
maiM sahamata hU~. bahuta kalpanAzIla.	I Agree . bhUta imaginative .
mujhe yaha kahanA hogA, hAlAMki. kucha nAma mujhe haMsAte haiM. hikapa, sToika da vasTa, gaॉbara	vaise mujhe bolanA par3egA . kucha nAma suna ke hasI AjAtI hai . Hiccup , Stoick the Vast , Gobber .
mujhe patA hai ki ve bahuta maz2edAra haiM. Hiccup eka mahAna upanAma hAlAMki hai.	mujhe patA hai bahuta funny hai . vaise Hiccup bahuta bar3hiyA nickname hai .
kyA ApakA vivaraNa basa dUra calA gayA? merA kiyA.	kyA tumhAre description cala gayA ? merA gayA .
nahIM, maiM eka dhImI gati se par3hane vAlA hU~|	Nope , maiM vaise slow reader hU~ .
koI ciMtA nahIM.	koI ciMtA nahIM
to Apa eka pUMcha paMkha ke bAre meM thor3A nahIM par3ha sakate haiM. yaha thor3A TUthalesa hai jo phaTa gayA hai.	to kyA tuma kauDala fin ke bAre meM thor3A par3ha nahIM sakate , yaha thor3A toothless we tore off
maiM yaha nahIM dekha sakate haiM, lekina mujhe yAda hai. garIba toothless.	maiM dekha nahIM sakatalekina mujhe yAda hai . becAre toothless
mujhe ise gUgala karanA hogA| mujhe vAstava meM yaha philma bahuta pasaMda hai| 98% yaha jAnanA acchA hai ki mujhe eka philma pasaMda hai jo dUsaroM ko bhI pasaMda hai|	maiMne yaha google meM pAyA.mujhe yaha moiva vAstava meM pasaMda hai , 98 % yaha achi hai mujhe pasaMda hai dUsaroM kA patA nahIM
hA~. yaha vAstava meM eka ucca reTiMga hai. yaha aMta meM eka mahAna sAmaMjasyapUrNa saMdeza hai jo preraNAdAyaka hai	ha . yaha vAstava meM haiH rating haiM.aMta meM bahuta acchA inspiring saMdeza hai
hama Age bar3hanA cAhie. Stoick jahAja ke lie toothless paTTiyA~ aura megA-Draigana se lar3ane ke lie calA jAtA hai. maiM eka taraha se mahasUsa kiyA hai ki yaha eka purAnA trope thA, lekina abhI bhI eka choTe se kAma karatA hai.	rikoM zAyada hama dekhane jAe toothless mAMgA - dragon se lara . mujhe lagA yaha yaka old trope lekina yaha thor3A kama kara gayA
mujhe lagatA hai ki hameM yAda rakhanA hogA ki yaha baccoM ke lie hai. lar3AI ke dRzya vAstava meM acchI taraha se kie gae haiM.	hameM yAda rakhanA cAiye ki yaha baccoM ke lie hai.fight seen bahuta acche the
Apa sahI haiM. pahalA Alocaka kahatA hai ki kSetra kI lar3AI bahuta adhika hai, lekina ImAnadArI se maiM unheM pyAra karatA thA. maiM eka bar3A AdamI hU~ lekina abhI bhI dila meM eka baccA hU~.	tuma sahI the , pahale critic ne kahA lar3AI jarUrata se jayAdA , lekina mujhe ye pASANa AI.maiM bar3A AdamI ho lekina merA dila bacce kA hai
eriyala* srI	Aerial sorry
maiM sahamata hU~| AlocakoM ko apane bhItara ke bacce ko yAda rakhane kI jarUrata hai|	maiM sahamata hU~ , critic ko apane andara ke bacce ko yAda rakhanA cAhie
mujhe patA thA ki ApakA kyA matalaba thA|	mujhe janatA tumhArA matalaba patA thA .
vArtAlApa samApta kareM baTana Upara AyA. eka mahAna dopahara hai!	khatma vArtAlApa button AyA ... ApakA dopahara acchA bIte !
tuma bhI.	Apa bhI
hailo	namaste
namaskAra	hai
nakala khela eka mahAna philma hai	imitation game bahuta acI movie hai
are! yaha kaise jA rahA hai?	hai kyA hAla cAla haiM ?
tumheM Ayarana maina kaisA lagA?	are iron man ko kaise pasaMda AyA ?
hailo! mujhe philma pasaMda hai	hai .. mujhe isa movie ko pasaMda haiM
kyA Apako yaha pasaMda AyA?	kyA Apako
mujhe bhI lagA ki yaha maz2edAra thA|	hA~ thor3A fun bhI haiM yAra
ApakA pasaMdIdA caritra kyA thA?	tumhAre favorite character kauna thA ?
bezaka yaha TonI hai	nizcita rUpa se vaha Tony hai
vaha harAne ke lie muzkila hai maiM svIkAra karanA cAhie.	Use harAnA muzkila hai maiM yaha mAnatA hUM .
ApakA pasaMdIdA caritra kauna sA thA ?	tumhAre favorite character kauna thA ?
zAyada TonI bhI - vaha mujhe apane mRta hAsya ke sAtha kraika karatA hai|	Probably tony bhI bahuta acchA hai - usane mujhe apanI deadpan hamAra se crack kara diyA
vAstava meM mujhe lagatA hai ki yaha hAsya hai jo philma ko kAma karane meM madada karatA hai|	mujhe actually lagatA hai ki vaha humor hI thA jisa se movie ko work out karane meM help milI
hA~ vaha bahuta acchA hAsya hai aura AsAnI ke sAtha kArya karatA hai	hA~ usake pAsa bahuta acchA humor hai aura vaha bahuta aise se work karatA hai
hAsya ke alAvA, Apako philma kA kauna sA tatva pasaMda AyA?	Humor ke alAvA , tuma movie kA kauna sA element prefer karoge ?
ekzana sIkveMsa. mujhe tInoM bhAgoM meM se dUsarI philma pasaMda hai	Action sequences , mujhe tIno parts meM se second movie pasaMda AI
pahalI philma eka vRttacitra/yuddha kI taraha adhika dikhatI hai	pahalI movie bahuta had taka documentary / war jaisI pratIta huI
hA~, kArravAI anukrama kAphI acche haiM. ur3ane sUTa pyAra!	hAM , action sequence kAphI ache haiM . love ur3ane vAlA suit .
sahI hai. lekina yaha pRSThabhUmi kahAnI sthApita karane ke lie eka acchA tarIkA thA.	sahI . para yaha pichalI story establish karane kA acchA tarIkA thA
dUsarA bhAga kArravAI meM sabhI sporTsa kAroM ke sAtha merA pasaMdIdA hai, apagreDa sUTa	dUsarA part mere pasaMdIdA haiM jisameM sports cars action meM hai , upgraded suit hai
hA~	hAM
mujhe patA hai! una sabhI camakadAra khilaune.	mujhe patA hai ! saba camakane vAle khilaunoM ke bAre meM .
Ama taura para, maiM	jayadAtara , meM
maiM usa taraha ke gaijeTsa para bar3A nahIM hU~, lekina ve vAstava meM yaha kAma karate haiM.	maiM usa taraha ke gadgets para utanA bar3A nahIM ho , para yaha saca meM kAma karatA hai .
mujhe lagatA hai ki yaha sauMdaryazAstra kI taraha hai ve ke lie calA gayA hai ki mere lie kAma karatA hai.	mujhe lagatA hai jo mere lie kAma karate haiM vaha aesthetics kI taraha hai
Apa eka aura bhAga kI ummIda kara rahe haiM?	kyA tumheM lagatA hai dUsarA part Aye gA ?
anukrama	pariNAma
zAyada. unhoMne una philmoM se itanA paisA kamAyA, ve kyoM rukeMge?	zAyada . unhoMne una movies se kAphI paise banA lie , ve kyoM rukeMge ?
mujhe lagatA hai ki ve una philmoM ke sAtha eka araba Daॉlara kamAyA	mujhe lagatA hai unhoMne una movies se bIsa billion dollars banA lie
hA~, hA~.	hAM .
Apa Gwyneth Paltrow ke sAtha cher3akhAnI / pyAra upa kahAnI ke bAre meM kyA socate haiM?	tuma Gwyneth Paltrow ke sAtha flirt / love saba story kaha kyA socatI ho ?
ImAnadArI se mujhe yAda nahIM hai ki eka .. mujhe yAda dilAeM ki yaha vAstava meM kahA~ huA	saca meM mujhe vaha yAda nahIM .. mujhe yAda karavAo ye kahA~ huI thI
mujhe lagatA hai ki aMta kI ora. maiMne socA ki yaha anAvazyaka thA.	maiM sacetI ho aMta kI tarapha . mujhe lagatA hai yaha jarUrI nahIM .
lekina Apa zurU se hI prema kahAnI ko dekha sakate haiM|	lekina tuma usa prema kahAnI ko dekha sakate ho jo zurU se zurU huI .
mujhe yaha kaSTaprada lagatA hai jaba ve mahasUsa karate haiM ki unheM hara cIja meM prema kahAniyAM jor3anI hotI haiM|	jaba unako lagatA hai ki unheM hara cIja meM prema kahAnI DAla denI cAiye taba mujhe cir3ha hotI hai .
lekina usakA caritra abhI bhI cher3akhAnI ke alAvA kAma karatA hai|	para usakA caritra flirting ke bAda bhI calegA .
dekhate haiM ki kyoM maiM kevala yuddha bAta yAda hai	dekho isalie mujhe sirfa lar3AI kaI cIjeM yAda hai
mujhe patA hai - yaha dekhane ke lie adhika majedAra hai, adhika kArravAI-unmukha.	mujhe patA hai action-oriented dekhane meM jyAdA maz2A AtA hai
philmoM meM praudyogikI ke bAre meM kyA - kyA Apako yaha pasaMda hai ki ise kaise prastuta kiyA jAtA hai?	movies kI technology ke bAre meM kyA - kyA tumheM pasaMda hai jisa taraha se vaha present kiye jAte haiM ?
mujhe usake dila meM ilekTro maigneTa bahuta pasaMda thA|	mujhe usake dila pe lagI electro magnet se pyAra thA
oha vaise, mujhe gaMbhIra jhagar3oM meM usakA ravaiyA pasaMda hai, saMgIta ke sAtha hAsya	oh vaise bhI , mujhe pasaMda hai usakA attitude serious fights meM , humor music ke sAtha
mujhe patA hai! vaha supara hIro philmoM ke lie sabase acchA abhinetAoM meM se eka hai kyoMki vaha khuda ko bahuta gaMbhIratA se nahIM letA hai.	mujhe patA hai , vaha super hero movies meM sabase acchA actor hai kyoMki vaha apane Apa ko seriously nahIM liTA .
aba jAnA hai - Apa ke sAtha bAta karane ke lie maz2A!	gotta go now - tumase bAta karane meM maz2A AyA !
hailo	Hello
hAya, maiM sirpha eka philma dekhI	hai , maiMne just eka movie dekhI
oha kauna sI filma?	Oh kaunasI movie ?
liMDase lohAna abhinIta mIna garlsa	Mean Girls jisameM Lindsay Lohan star karatI hai
kyA yaha acchA thA?	kyA vaha acchI thI ?
khaira, maiM kisI kAraNa ke lie hAI skUla philmeM pyAra karatA hU~. lekina yaha asAdhAraNa thA.	Well kucha reason ke lie mujhe High School movies acchI lagatI hai . But yaha to exceptional thI .
to yaha eka kaॉmeDI thI?	to kyA vaha eka comedy thI ?
kyA isane koI puraskAra jItA?	kyA usane koI awards jIte ?
hA~. hAsyAspada. yaha TInA pheya dvArA likhA gayA thA, sArA pelina ke lie galata nahIM kiyA jAnA cAhie.	hAM . Hilarious . TInA Fey ne likhA hai Sarah pAlina ke lie mistake na karanA
oha mujhe kaॉmeDIz2a bahuta pasaMda haiM, usa filma meM aura kauna thA?	Oh mujhe comedies bahuta pasaMda hai aura kauna thA usa movie meM ?
maiM kisI aura ko nahIM pahacAnA. liMDase hamezA khabaroM meM hai, to maiM use jAnatA hU~.	mujhe aura koI pahacAna meM nahIM AyA . Lindsay hamezA news meM rahatI hai , to vaha mujhe patA hai
hA~ vaha bahuta sArI acchI philmoM meM hai	hA~ vo kAphI achI movies meM hai
mujhe puraskAroM ke bAre meM patA nahIM hai, lekina maiMne par3hA hai ki AlocakoM ne ise pyAra kiyA|	Awards kA to patA nahIM , but maiM par3hA hai ki critics ko kAphI pasaMda AI .
acchA, maiM dekhane ke lie eka acchI philma kI talAza meM hU~, kyA Apa isa eka kI siphAriza karate haiM?	Nice , maiM eka acchI movie DhUMDha rahA hU~ dekhane ke lie , kyA tuma isa recommend karoge ?
hA~, lekina vaha bhI vAstavika jIvana kI cIjoM ke lie prasiddha hai ... jaMgalI nijI jIvana. lagatA hai jaise vaha POTUS eka dina ho jAegA	hA~ but vaha real life ke lie bhI famous hai , wild personal life . lagatA hai vaha eka dina poTAsa banegI .
maiM isakI siphAriza karU~gA| eka kizora philma hone ke alAvA, yaha eka mahAna vArtAlApa philma hai	maiM to recommend karUMgA . tIna movie hone ke sAtha sAtha bahuta achI conversational movie hai .
vaha anya sabhI yuvA abhinetriyoM kI taraha hI lagatI hai	vaha to sabhI young actress type kI lagatI hai
to kyA yaha baccoM ke sAtha dekhane ke lie upayukta hai kyA Apako lagatA hai?	to kyA tumheM lagatA hai ye movie baccoM ke sAtha dekhane ke lie ThIka hai ?
yA kyA Apako lagatA hai ki yaha eka tArIkha rAta philma ke lie behatara hogA	yA phira yaha date night movie ke hisAba se better hai ?
vahA~ kucha kAlI kaॉmeDI zAmila hai. eka biMdu para, eka burA lar3akiyoM meM se eka eka basa dvArA mArA jAtA hai. to parivAra eka kI tulanA meM adhika tArIkha rAta.	thor3I dark comedy involved hai . eka point meM Mean Girls meM se eka ko basa Toka detI hai . to family night se jyAdA Date night ke lie hai .
oha yaha dardanAka lagatA hai	oh , jo traumatic lagatA hai
vahA~ kisI bhI DarAvane bhAgoM rahe haiM?	kyA koI scary parts hisse haiM ?
maiM eka kula wuss hU~	meha total weak hai
puraskAroM ke saMbaMdha meM, ise raॉTana TamATara dvArA zIrSa 50 kizora kaॉmeDI meM se eka ke rUpa meM sUcIbaddha kiyA gayA hai|	Puraskaaron ke saMbaMdha meM , isa top 50 tIna comedies meM se eka ke rUpa meM rotten tomatoes dvArA sUcIbaddha kiyA gayA hai .
koI DarAvane bhAgoM. ciMtA mata karo.	koI DarAvanA hissA nahIM . ciMtA mata karo
vAha to yaha eka acchA samaya honA cAhie to	vaha to yaha eka acchA samaya honA cAhie
vahA~ kucha aura hai ki maiM patA honA cAhie hai?	kiyA aura kucha hai jo mujhe jAnanA cAhie ?
maiM ghRNita hAsya kA prazaMsaka nahIM hU~	maiM zakla hAsya kA prazaMsaka nahIM hU~
hA~, yaha zailI para eka buddhimAna le rahA hai. aisA lagatA hai ki yaha bhI majAka kara rahA hai ... nRtya samAroha ke sAtha samApta hotA hai ... hAlAMki kairI ephaAI kI taraha nahIM, cUMki ur eka sva-varNita wuss.	hAM , isake intelligent genre para hai . thor3A lagatA hai ki yaha bhI majedAra hai ... prom ke sAtha samApta hotA hai ... hAlAMki carrie phI taraha nahIM , kyoMki aura eka varNita weak hai .
nahIM, koI ghRNita hAsya nahIM|	nahIM , koI zakla hAsya nahIM .
yahA~ kyA dilacaspa hai. yaha eka gaira-kAlpanika pustaka para AdhArita thA	kyA interesting hai ki vaha eka no-fiction book para based hai .
oha mujhe kitAboM para AdhArita philmeM bahuta pasaMda haiM	oh mujhe books para based movie pasaMda hai
yaha eka pustaka para AdhArita thA jisane hAI skUla meM sAmAjika girohoM kA adhyayana kiyA aura lar3akiyoM para unake manovaijJAnika prabhAva| to TInA phe ne ise liyA aura ise eka kaॉmeDI meM badala diyA| bahuta anokhA|	yaha eka book para based hai jisameM high school meM girls ke Upara psychological effect para study kI hai isalie TInA ne le liyA aura comedy banA dI bhUta hI unique hai
dilacaspa lagatA hai	dilacaspa laga rahI hai
hailo.	namaste
hAya, mujhe lagatA hai ki Apa lAlA laiMDa dekhanA cAhie. yaha eka adbhuta philma kI taraha lagatA hai	hAya , mujhe lagatA hai ki Apako lAla paine dekhanA cAhie . aisA lagatA hai ki yaha eka adbhuta films hai
philma meM kauna abhinaya karatA hai?	movie meM kauna star hai
rAyana gosliMga, emmA sTona, aura jaॉna lIjeMDa	Ryan Gosling , Emma stone , aura John Legend
mujhe rAyana gosliMga pasaMda hai| vaha eka acchA abhinetA hai, lekina maiMne sunA hai ki yaha eka saMgIta thA| kyA yaha sahI hai?	mujhe Ryan Gosling pasaMda hai . vo acchA actor hai , lekina maiMne sunA hai ki vaha musical thA . kyA yaha sahI hai ?
hA~, yaha eka saMgItamaya romAMTika kaॉmeDI hai! isameM una sabhI cIjoM kA sabase acchA hissA hai jo Apako acchA mahasUsa karAtI haiM! romAMsa, aura kaॉmeDI|	hAM , vaha musical romantic comedy hai . isameM vaha saba kucha hai jo Apa ko acchA mahasUsa karAegA , romance aura comedy .
maiM eka saMgIta meM rayAna gosliMga kI kalpanA nahIM kara sakatA, lekina mujhe lagatA hai ki yaha kAma kara sakatA hai|	meM Ryan Gosling ko musical meM imagine nahIM kara sakatA , lekina zAyada yaha calegA
philma kahA~ ghaTita hotI hai?	movie kahA~ banI hai
vaha jaiz2a piyAnovAdaka ke rUpa meM khelatA hai, aura use emmA sTona se pyAra ho jAtA hai| yaha laॉsa eMjilsa meM hotA hai|	vaha Jazz pianist banA hai aura usako Emma Stone se mohabbata hojAtI hai . ye Los Angeles meM hotA hai
kyA emmA sTona bhI eka kalAkAra kI bhUmikA nibhA rahI hai?	kyA Emma Stone bhI artist play kara rahI hai ?
vaha isa philma meM eka mahatvAkAMkSI abhinetrI haiM| ve donoM apane sapanoM kA pIchA kara rahe haiM|	vaha film meM aspiring actress haiM , donoM apane khvAba pursue kara rahe haiM
jaॉna lIjeMDa kyA bhUmikA nibhAte haiM?	John Legend kaunasA part play kara rahA hai ?
mujhe yakIna nahIM hai ki vaha kisa hisse kA bhugatAna karatA hai| pahale bhAga meM rAyana gosliMga eka pArTI meM hai aura vaha I Ran (So far Away) kA eka kavara khelatA hai, use lagatA hai ki gIta eka gaMbhIra saMgItakAra ke lie eka apamAna hai	mujhe yAda nahIM ki vaha kyA part meM pe kara hogA . pahale part meM to Ryan Gosling party meM the aura I Ran ko play kara rahe the , lagatA thA ki vaha song kisI serious musician ko insult kara rahe haiM
